Country name,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Region,Hemisphere,HappinessScore,GDP_PerCapita,Beer_PerCapita,Spirit_PerCapita,Wine_PerCapita
Finland,0.9540000000000001,72.0,0.9490000000000001,-0.098,Western Europe,north,7.412999999999999,43.433,263,133,97
Denmark,0.9540000000000001,72.7,0.946,0.03,Western Europe,north,7.526,53.57899999999999,224,81,278
Switzerland,0.9420000000000001,74.4,0.919,0.025,Western Europe,north,7.5089999999999995,79.866,185,100,280
Iceland,0.983,73.0,0.955,0.16,Western Europe,north,7.501,60.53,233,61,78
Netherlands,0.9420000000000001,72.4,0.9129999999999999,0.175,Western Europe,north,7.3389999999999995,45.638000000000005,251,88,190
Norway,0.9540000000000001,73.3,0.96,0.09300000000000001,Western Europe,north,7.497999999999999,70.89,169,71,129
Sweden,0.934,72.7,0.945,0.086,Western Europe,north,7.291,51.845,152,60,186
Luxembourg,0.9079999999999999,72.6,0.907,-0.034,Western Europe,north,6.871,100.73899999999999,236,133,271
New Zealand,0.948,73.4,0.929,0.134,Australia and New Zealand,south,7.334,40.332,203,79,175
Austria,0.934,73.3,0.9079999999999999,0.042,Western Europe,north,7.119,44.731,279,75,191
Australia,0.94,73.9,0.914,0.159,Australia and New Zealand,south,7.313,49.897,261,72,212
Israel,0.9390000000000001,73.503,0.8,0.031,Middle East and Northern Africa,north,7.267,37.181,63,69,9
Germany,0.903,72.5,0.875,0.011000000000000001,Western Europe,north,6.994,42.233000000000004,346,117,175
Canada,0.9259999999999999,73.8,0.915,0.08900000000000001,North America,north,7.404,42.349,240,122,100
Ireland,0.9470000000000001,72.4,0.879,0.077,Western Europe,north,6.907,64.1,313,118,165
Costa Rica,0.8909999999999999,71.4,0.934,-0.126,Latin America and Caribbean,north,7.087000000000001,11.732999999999999,149,87,11
United Kingdom,0.934,72.5,0.8590000000000001,0.233,Western Europe,north,6.725,40.412,219,126,195
Czech Republic,0.9470000000000001,70.807,0.858,-0.20800000000000002,Central and Eastern Europe,north,6.596,18.484,361,170,134
United States,0.92,68.2,0.8370000000000001,0.098,North America,north,7.104,57.589,249,158,84
Belgium,0.9059999999999999,72.199,0.7829999999999999,-0.153,Western Europe,north,6.928999999999999,41.261,295,84,212
France,0.9420000000000001,74.0,0.8220000000000001,-0.147,Western Europe,north,6.478,36.87,127,151,370
Bahrain,0.862,69.495,0.925,0.08900000000000001,Middle East and Northern Africa,north,6.218,22.561,42,63,7
Malta,0.9309999999999999,72.2,0.927,0.133,Western Europe,north,6.4879999999999995,24.771,149,100,120
United Arab Emirates,0.8440000000000001,67.333,0.932,0.07400000000000001,Middle East and Northern Africa,north,6.5729999999999995,38.518,16,135,5
Spain,0.932,74.7,0.7609999999999999,-0.081,Western Europe,north,6.361000000000001,26.616999999999997,284,157,112
Italy,0.88,73.8,0.693,-0.084,Western Europe,north,5.977,30.669,85,42,237
Slovenia,0.948,71.4,0.9490000000000001,-0.10099999999999999,Central and Eastern Europe,north,5.768,21.65,270,51,276
